Your Input	Gene	Public Name	Status	Sequence Name	Other Name	Transcript	WormPep	Uniprot	TreeFam	RefSeq_mRNA	RefSeq_protein	RNAi Phenotype Observed	RNAi Phenotype Not Observed	Allele Phenotype Observed	Allele Phenotype Not Observed	Expr_pattern Tissue	Genomic Study Tissue	Expr_pattern LifeStage	Genomic Study LifeStage	Public Name	Disease Info	Human Ortholog	Description Type	Description Text
C40H1.7	WBGene00008042	C40H1.7	Live	C40H1.7	CELE_C40H1.7	C40H1.7a,C40H1.7b,C40H1.7:wp98,C40H1.7:wp256,C40H1.7a,C40H1.7b	CE51798,CE51810	N.A.	N.A.	NM_066651.4	NP_499052.2	N.A.	embryonic lethal,maternal sterile,organism morphology variant,Variant	N.A.	N.A.	N.A.	germ line,intestine,muscle cell,OLL,PVD,Z4.aapppap (5L) nucleus	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,5-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,L4-adult lethargus Ce,larva Ce	C40H1.7	N.A.	N.A.	Automated_description	RNA sequencing and microarray studies indicate that C40H1.7 is regulated by Rotenone, Bisphenol A, Cry5B, Quercetin, Hydrolyzable Tannins, Humic substances, single-walled carbon nanotubes, Dafa#1, and Sirolimus; microarray, tiling array, and RNA sequencing studies indicate that C40H1.7 is enriched in the intestine, germ line, Z4.aapppap (5L) nucleus, muscle cell, and hermaphrodite-specific tissues and in the PVD and OLL neurons.
Y55F3AM.14	WBGene00021931	Y55F3AM.14	Live	Y55F3AM.14	CELE_Y55F3AM.14	Y55F3AM.14,Y55F3AM.14.1,Y55F3AM.14.2	CE22541	Q9N360	TF350883	NM_067632.1	NP_500033.1	N.A.	embryonic lethal,lethal,maternal sterile,multiple anchor cells,organism morphology variant,postembryonic development variant,Variant	N.A.	lethal,locomotion variant,sterile	dorsal nerve cord,head muscle,intestine,ventral nerve cord	intestine,neuron,NSM,OLL,PVD	adult Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	1-day post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,blastula embryo Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	Y55F3AM.14	N.A.	ENSG00000196152|ParaSite-Compara;Inparanoid_8,ENSG00000198939|ParaSite-Compara;Inparanoid_8,ENSG00000197951|ParaSite-Compara;Inparanoid_8,ENSG00000186446|ParaSite-Compara,ENSG00000178917|ParaSite-Compara;Inparanoid_8,ENSG00000160961|ParaSite-Compara;Inparanoid_8,ENSG00000179965|ParaSite-Compara,ENSG00000198131|ParaSite-Compara;Inparanoid_8,ENSG00000178338|ParaSite-Compara;Inparanoid_8,ENSG00000256223|ParaSite-Compara;Inparanoid_8,ENSG00000117010|ParaSite-Compara,ENSG00000198298|ParaSite-Compara,ENSG00000185252|ParaSite-Compara,ENSG00000198816|ParaSite-Compara,ENSG00000167635|ParaSite-Compara,ENSG00000144792|ParaSite-Compara,ENSG00000125945|ParaSite-Compara;Inparanoid_8,ENSG00000122386|ParaSite-Compara,ENSG00000196378|ParaSite-Compara;Inparanoid_8,ENSG00000185730|ParaSite-Compara,ENSG00000183309|ParaSite-Compara;Inparanoid_8,ENSG00000130544|ParaSite-Compara,ENSG00000233757|ParaSite-Compara,ENSG00000184939|ParaSite-Compara;Inparanoid_8,ENSG00000169131|ParaSite-Compara;Inparanoid_8,ENSG00000175322|ParaSite-Compara;Inparanoid_8,ENSG00000169957|ParaSite-Compara,ENSG00000136866|ParaSite-Compara;Inparanoid_8,ENSG00000177932|ParaSite-Compara;Inparanoid_8,ENSG00000169740|ParaSite-Compara,ENSG00000234284|ParaSite-Compara;Inparanoid_8,ENSG00000178187|ParaSite-Compara;Inparanoid_8,ENSG00000173258|ParaSite-Compara;Inparanoid_8,ENSG00000167785|ParaSite-Compara,ENSG00000164011|ParaSite-Compara,ENSG00000180938|ParaSite-Compara;Inparanoid_8,ENSG00000196418|ParaSite-Compara,ENSG00000121903|ParaSite-Compara;Inparanoid_8,ENSG00000143067|ParaSite-Compara;Inparanoid_8,ENSG00000196391|ParaSite-Compara;Inparanoid_8,ENSG00000181894|ParaSite-Compara;Inparanoid_8,ENSG00000180787|ParaSite-Compara;Inparanoid_8,ENSG00000249459|ParaSite-Compara;Inparanoid_8,ENSG00000169981|ParaSite-Compara;Inparanoid_8,ENSG00000196150|ParaSite-Compara;Inparanoid_8,ENSG00000196345|ParaSite-Compara;Inparanoid_8,ENSG00000187607|ParaSite-Compara;Inparanoid_8,ENSG00000166704|ParaSite-Compara;Inparanoid_8,ENSG00000184517|ParaSite-Compara,ENSG00000167384|ParaSite-Compara;Inparanoid_8,ENSG00000124613|ParaSite-Compara,ENSG00000197363|ParaSite-Compara,ENSG00000198453|Inparanoid_8,ENSG00000196437|Inparanoid_8,ENSG00000198040|Inparanoid_8,ENSG00000096654|Inparanoid_8,ENSG00000147118|Inparanoid_8,ENSG00000176293|Inparanoid_8,ENSG00000090612|Inparanoid_8,ENSG00000197016|Inparanoid_8,ENSG00000197050|Inparanoid_8,ENSG00000196967|Inparanoid_8,ENSG00000196263|Inparanoid_8,ENSG00000197566|Inparanoid_8,ENSG00000245680|Inparanoid_8,ENSG00000147124|Inparanoid_8,ENSG00000164631|Inparanoid_8,ENSG00000159917|Inparanoid_8,ENSG00000187187|Inparanoid_8,ENSG00000146587|Inparanoid_8,ENSG00000189042|Inparanoid_8,ENSG00000184635|Inparanoid_8,ENSG00000221994|Inparanoid_8,ENSG00000256087|Inparanoid_8,ENSG00000168661|Inparanoid_8,ENSG00000196081|Inparanoid_8,ENSG00000197619|Inparanoid_8,ENSG00000197013|Inparanoid_8,ENSG00000213967|Inparanoid_8,ENSG00000197782|Inparanoid_8,ENSG00000180479|Inparanoid_8,ENSG00000127081|Inparanoid_8,ENSG00000198521|Inparanoid_8,ENSG00000198182|Inparanoid_8,ENSG00000196172|Inparanoid_8,ENSG00000136870|Inparanoid_8,ENSG00000141040|Inparanoid_8,ENSG00000167555|Inparanoid_8,ENSG00000145908|Inparanoid_8,ENSG00000197497|Inparanoid_8,ENSG00000128000|Inparanoid_8,ENSG00000171817|Inparanoid_8,ENSG00000198633|Inparanoid_8,ENSG00000167637|Inparanoid_8,ENSG00000182141|Inparanoid_8,ENSG00000242852|Inparanoid_8,ENSG00000189144|Inparanoid_8,ENSG00000196458|Inparanoid_8,ENSG00000269067|Inparanoid_8,ENSG00000124459|Inparanoid_8,ENSG00000196110|Inparanoid_8,ENSG00000213096|Inparanoid_8,ENSG00000251247|Inparanoid_8,ENSG00000263002|Inparanoid_8,ENSG00000125846|Inparanoid_8,ENSG00000170631|Inparanoid_8,ENSG00000198185|Inparanoid_8,ENSG00000186448|Inparanoid_8,ENSG00000197779|Inparanoid_8,ENSG00000196867|Inparanoid_8,ENSG00000196693|Inparanoid_8,ENSG00000181450|Inparanoid_8,ENSG00000251192|Inparanoid_8,ENSG00000197360|Inparanoid_8,ENSG00000197372|Inparanoid_8,ENSG00000198169|Inparanoid_8,ENSG00000189180|Inparanoid_8,ENSG00000186272|Inparanoid_8,ENSG00000105497|Inparanoid_8,ENSG00000261611|Inparanoid_8,ENSG00000105708|Inparanoid_8,ENSG00000173875|Inparanoid_8,ENSG00000167380|Inparanoid_8,ENSG00000147789|Inparanoid_8,ENSG00000196724|Inparanoid_8,ENSG00000196597|Inparanoid_8,ENSG00000142065|Inparanoid_8,ENSG00000221923|Inparanoid_8,ENSG00000176371|Inparanoid_8,ENSG00000131849|Inparanoid_8,ENSG00000213988|Inparanoid_8,ENSG00000186777|Inparanoid_8,ENSG00000237440|Inparanoid_8,ENSG00000153896|Inparanoid_8,ENSG00000267680|Inparanoid_8,ENSG00000198440|Inparanoid_8,ENSG00000196757|Inparanoid_8,ENSG00000254004|Inparanoid_8,ENSG00000164256|Inparanoid_8,ENSG00000146757|Inparanoid_8,ENSG00000167766|Inparanoid_8,ENSG00000204519|Inparanoid_8,ENSG00000198393|Inparanoid_8,ENSG00000185947|Inparanoid_8,ENSG00000198046|Inparanoid_8,ENSG00000176024|Inparanoid_8,ENSG00000256294|Inparanoid_8,ENSG00000081386|Inparanoid_8,ENSG00000131115|Inparanoid_8,ENSG00000197647|Inparanoid_8,ENSG00000181007|Inparanoid_8,ENSG00000229676|Inparanoid_8,ENSG00000083844|Inparanoid_8,ENSG00000189164|Inparanoid_8,ENSG00000178229|Inparanoid_8,ENSG00000196705|Inparanoid_8,ENSG00000204524|Inparanoid_8,ENSG00000196357|Inparanoid_8,ENSG00000176222|Inparanoid_8,ENSG00000197863|Inparanoid_8,ENSG00000130684|Inparanoid_8,ENSG00000196653|Inparanoid_8,ENSG00000186300|Inparanoid_8,ENSG00000131845|Inparanoid_8,ENSG00000152454|Inparanoid_8,ENSG00000170100|Inparanoid_8,ENSG00000198028|Inparanoid_8,ENSG00000197134|Inparanoid_8,ENSG00000183647|Inparanoid_8,ENSG00000198464|Inparanoid_8,ENSG00000127903|Inparanoid_8,ENSG00000197857|Inparanoid_8,ENSG00000197808|Inparanoid_8,ENSG00000196605|Inparanoid_8,ENSG00000147117|Inparanoid_8,ENSG00000198039|Inparanoid_8,ENSG00000075407|Inparanoid_8,ENSG00000197933|Inparanoid_8,ENSG00000171827|Inparanoid_8,ENSG00000198342|Inparanoid_8,ENSG00000249709|Inparanoid_8,ENSG00000196466|Inparanoid_8,ENSG00000121406|Inparanoid_8,ENSG00000083817|Inparanoid_8,ENSG00000198429|Inparanoid_8,ENSG00000180855|Inparanoid_8,ENSG00000181666|Inparanoid_8,ENSG00000160352|Inparanoid_8,ENSG00000183850|Inparanoid_8,ENSG00000257446|Inparanoid_8,ENSG00000188171|Inparanoid_8,ENSG00000142556|Inparanoid_8,ENSG00000173041|Inparanoid_8,ENSG00000186230|Inparanoid_8,ENSG00000174652|Inparanoid_8,ENSG00000152926|Inparanoid_8,ENSG00000198466|Inparanoid_8,ENSG00000197841|Inparanoid_8,ENSG00000197124|Inparanoid_8,ENSG00000173480|Inparanoid_8,ENSG00000180884|Inparanoid_8,ENSG00000174586|Inparanoid_8,ENSG00000175395|Inparanoid_8,ENSG00000197044|Inparanoid_8,ENSG00000121417|Inparanoid_8,ENSG00000130844|Inparanoid_8,ENSG00000141946|Inparanoid_8,ENSG00000175787|Inparanoid_8,ENSG00000197928|Inparanoid_8,ENSG00000197472|Inparanoid_8,ENSG00000186026|Inparanoid_8,ENSG00000188033|Inparanoid_8,ENSG00000105136|Inparanoid_8,ENSG00000198105|Inparanoid_8,ENSG00000196646|Inparanoid_8,ENSG00000161298|Inparanoid_8,ENSG00000088876|Inparanoid_8,ENSG00000132010|Inparanoid_8,ENSG00000171970|Inparanoid_8,ENSG00000197362|Inparanoid_8,ENSG00000187792|Inparanoid_8,ENSG00000130818|Inparanoid_8,ENSG00000186020|Inparanoid_8,ENSG00000175691|Inparanoid_8,ENSG00000204920|Inparanoid_8,ENSG00000131127|Inparanoid_8,ENSG00000188785|Inparanoid_8,ENSG00000159915|Inparanoid_8,ENSG00000267508|Inparanoid_8,ENSG00000099326|Inparanoid_8,ENSG00000158691|Inparanoid_8,ENSG00000177599|Inparanoid_8,ENSG00000152443|Inparanoid_8,ENSG00000179909|Inparanoid_8,ENSG00000171291|Inparanoid_8,ENSG00000171295|Inparanoid_8,ENSG00000185219|Inparanoid_8,ENSG00000006194|Inparanoid_8,ENSG00000188868|Inparanoid_8,ENSG00000213762|Inparanoid_8,ENSG00000197961|Inparanoid_8,ENSG00000156853|Inparanoid_8,ENSG00000196652|Inparanoid_8,ENSG00000171161|Inparanoid_8,ENSG00000197128|Inparanoid_8,ENSG00000167394|Inparanoid_8,ENSG00000172006|Inparanoid_8,ENSG00000083812|Inparanoid_8,ENSG00000130182|Inparanoid_8,ENSG00000249471|Inparanoid_8,ENSG00000214029|Inparanoid_8,ENSG00000267022|Inparanoid_8,ENSG00000181315|Inparanoid_8,ENSG00000116809|Inparanoid_8,ENSG00000181444|Inparanoid_8,ENSG00000167562|Inparanoid_8,ENSG00000089335|Inparanoid_8,ENSG00000063587|Inparanoid_8,ENSG00000214022|Inparanoid_8,ENSG00000166188|Inparanoid_8,ENSG00000172000|Inparanoid_8,ENSG00000180035|Inparanoid_8,ENSG00000138738|Inparanoid_8,ENSG00000152475|Inparanoid_8,ENSG00000158805|Panther	Automated_description	Y55F3AM.14 is an ortholog of members of the human ZNF (Zinc fingers C2H2-type) family including ZNF79; Y55F3AM.14 is predicted to have metal ion binding activity and nucleic acid binding activity, based on protein domain information; Y55F3AM.14 is expressed in the intestine, ventral nerve cord, dorsal nerve cord, and the head muscle.
F41C3.11	WBGene00018275	F41C3.11	Live	F41C3.11	CELE_F41C3.11	F41C3.11,F41C3.11:wp107,F41C3.11:wp130,F41C3.11	CE37372	Q20261	TF315382	NM_062443.4	NP_494844.3	dauer lifespan extended	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	hypodermis,OLL,PVD	N.A.	1-cell embryo Ce,1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,blastula embryo Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	F41C3.11	N.A.	N.A.	Automated_description	Microarray and RNA sequencing studies indicate that F41C3.11 is regulated by fer-1, sma-2, sma-4, lin-15B, emr-1, lem-2, tdp-1, daf-2, jmjd-3.1, hsf-1, mir-243, aak-2, tax-6, and let-60; microarray studies indicate that F41C3.11 is regulated by Resveratrol, Quercetin, Colistin, Dafa#1, and Sirolimus; microarray, tiling array, and RNA sequencing studies indicate that F41C3.11 is enriched in the hypodermis and muscle cell and in the PVD and OLL neurons.
C31B8.7	WBGene00016282	C31B8.7	Live	C31B8.7	CELE_C31B8.7	C31B8.7,C31B8.7	CE08487	O16900	TF315323	NM_071388.1	NP_503789.1	locomotion variant,small	adult lethal,embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	intestine	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	C31B8.7	N.A.	N.A.	Automated_description	C31B8.7 is involved in locomotion and positive regulation of growth.
C03B1.14	WBGene00015382	C03B1.14	Live	C03B1.14	CELE_C03B1.14	C03B1.14,C03B1.14	CE25752	Q95QY5	TF322639	NM_076666.1	NP_509067.1	N.A.	embryonic lethal,maternal sterile,organism morphology variant,Variant	N.A.	N.A.	N.A.	gon_male_dtc anterior,gon_male_dtc posterior,hermaphrodite-specific,intestine,Z1,Z1.p,Z4,Z4.a,Z4.aapppap (5L) nucleus	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,blastula embryo Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	C03B1.14	N.A.	N.A.	Automated_description	Microarray and RNA sequencing studies indicate that C03B1.14 is regulated by lin-15B, lin-35, atfs-1, spg-7, emr-1, lem-2, htz-1, npr-1, cco-1, jmjd-3.1, dop-1, rbr-2, skn-1, dpy-21, tdp-1, tbx-2, and eat-2; microarray studies indicate that C03B1.14 is regulated by Cadmium, Cry5B, Humic substances, Colistin, and Sirolimus; tiling array and RNA sequencing studies indicate that C03B1.14 is enriched in the intestine, gon_male_dtc posterior, gon_male_dtc anterior, Z1.p, Z4.a, Z4, Z1, Z4.aapppap (5L) nucleus, and hermaphrodite-specific tissues.
elf-1	WBGene00001159	eff-1	Live	C26D10.5	elf-1,CELE_C26D10.5	C26D10.5a,C26D10.5b,C26D10.5:wp80,C26D10.5c:wp252,C26D10.5d:wp252,C26D10.5c,C26D10.5b,C26D10.5a	CE03028,CE30881	G5EBM0,G5ECA1	TF318705	NM_001026817.3,NR_136365.1,NM_001026816.3	NP_001021988.1,NP_001021987.1	egg laying variant,embryonic lethal,epithelial cell fusion failure,nuclear positioning variant,organism morphology variant,protruding vulva	adult lethal,cell growth variant,embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	body morphology variant,cell fusion variant,dumpy,egg laying defective,epithelial cell fusion failure,exploded through vulva,gene expression level high,hermaphrodite tail spike variant,locomotion variant,male mating efficiency reduced,male tail morphology variant,multivulva,protruding vulva,regenerative axonal fusion defective,scrawny,seam cell fusion variant,small	axon regeneration defective,epithelial cell fusion failure,male tail morphology variant,pointed tail tip male	hyp6,hyp7,hyp7 syncytium,hypodermis,pharyngeal-intestinal valve,pharynx,R1AL,R1AR,R1BL,R1BR,R1stL,R1stR,R1_hyp,R2AL,R2AR,R2BL,R2BR,R2stL,R2stR,R2_hyp,R3AL,R3AR,R3BL,R3BR,R3stL,R3stR,R3_hyp,R4AL,R4AR,R4BL,R4BR,R4stL,R4stR,R4_hyp,R5AL,R5AR,R5BL,R5BR,R5stL,R5stR,R5_hyp,R6AL,R6AR,R6BL,R6BR,R6stL,R6stR,R6_hyp,R7AL,R7AR,R7BL,R7BR,R7stL,R7stR,R7_hyp,R8AL,R8AR,R8BL,R8BR,R8stL,R8stR,R8_hyp,R9AL,R9AR,R9BL,R9BR,R9stL,R9stR,R9_hyp,spike precursor left,spike precursor right,uterus,vulA,vulC,vulF	male-specific,OLL,PVD	adult Ce,bean embryo Ce,comma embryo Ce,elongating embryo Ce,enclosing embryo Ce,fully-elongated embryo Ce,gastrulating embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	1-cell embryo Ce,1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,blastula embryo Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,L4 larva male Ce	eff-1	N.A.	N.A.	Concise_description	eff-1 encodes novel, nematode-specific type I transmembrane and secreted glycoproteins; during development, EFF-1 functions as a fusogen required, in both fusion partners, for the initiation and expansion of membrane mergers that characterize cell fusions; eff-1(hy21) mutants are viable, but have severe body morphology defects associated with cell fusion failure; eff-1::GFP reporter fusions are expressed in the epidermis, pharynx, and uterus, as well as in some neurons; when expressed in tissue culture cells, the EFF-1A and EFF-1B isoforms are detected on the plasma membrane, while the EFF-1C isoform is found to be partially secreted.
elf-1	WBGene00016029	elf-1	Live	C24A1.2	W02B3.g,W02B3.g,CELE_C24A1.2	C24A1.2a,C24A1.2b,C24A1.2:wp143,C24A1.2b.1,C24A1.2b.2,C24A1.2a.1,C24A1.2a.2	CE27722,CE38587	Q400M2,H2KYY1	N.A.	NM_001026009.2,NM_001026010.2	NP_001021181.1,NP_001021180.1	transgene expression reduced	embryonic development variant,embryonic lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,Variant	N.A.	gene expression variant,lethal,transgene expression variant	head neuron,pharynx	germ line,OLL,PVD,Z1,Z4	fully-elongated embryo Ce,L1 larva Ce	1-day post-L4 adult hermaphrodite Ce,4-cell embryo Ce,7-10 days post-L4 adult hermaphrodite Ce,10-days post-L4 adult hermaphrodite Ce,20-days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,L4-adult lethargus Ce	elf-1	N.A.	ENSG00000102034|ParaSite-Compara;Panther,ENSG00000109381|ParaSite-Compara;Panther,ENSG00000120690|ParaSite-Compara;Panther	Automated_description	elf-1 is an ortholog of human ELF4 (E74 like ETS transcription factor 4), ELF2 (E74 like ETS transcription factor 2) and ELF1 (E74 like ETS transcription factor 1); elf-1 is predicted to have sequence-specific DNA binding activity and transcription factor activity, sequence-specific DNA binding, based on protein domain information; elf-1 is expressed in the pharynx and the head neurons.
flu-2	WBGene00015802	kynu-1	Live	C15H9.7	XG726,flu-2,flu-2,flu-2,CELE_C15H9.7	C15H9.7,C15H9.7	CE06835	Q18026	TF300707	NM_076622.4	NP_509023.1	fat content reduced	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	intestinal fluorescence decreased,metabolite content increased	gut granule biogenesis reduced,lethal,organism hypersensitive gamma irradiation,organism UV response variant,organism X ray response variant	N.A.	body wall muscle cell,germ line,hypodermis	N.A.	1-cell embryo Ce,1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,5-days post-L4 adult hermaphrodite Ce,6-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L3 larva Ce,L4 larva Ce,L4-adult lethargus Ce,larva Ce	kynu-1	N.A.	ENSG00000115919|ParaSite-Compara;Inparanoid_8;Panther	Automated_description	kynu-1 is an ortholog of human KYNU (kynureninase); kynu-1 is involved in lipid storage; kynu-1 is predicted to have kynureninase activity and pyridoxal phosphate binding activity, based on protein domain information.
dod-21	WBGene00007873	dod-21	Live	C32H11.10	CELE_C32H11.10	C32H11.10,C32H11.10	CE19717	Q9U3N6	TF316078	NM_070071.1	NP_502472.1	life span variant	embryonic lethal,germ cell ionizing radiation response variant,larval arrest,larval lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	FLP	N.A.	1-cell embryo Ce,1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	dod-21	N.A.	ENSG00000143819|Panther	Automated_description	dod-21 is an ortholog of human EPHX1 (epoxide hydrolase 1); dod-21 is involved in determination of adult lifespan.
C03F11.4	WBGene00015390	C03F11.4	Live	C03F11.4	CELE_C03F11.4	C03F11.4,C03F11.4:wp93,C03F11.4:wp149,C03F11.4.1,C03F11.4.2	CE39128	Q11125	TF322568	NM_076519.5	NP_508920.3	N.A.	embryonic lethal,maternal sterile,organism morphology variant,Variant	N.A.	N.A.	N.A.	coelomocyte,DA neuron,germ line,I5 neuron,retrovesicular ganglion,SAB,VA neuron	N.A.	1-day post-L4 adult hermaphrodite Ce,4-cell embryo Ce,adult Ce,adult hermaphrodite Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	C03F11.4	N.A.	N.A.	Automated_description	Microarray and RNA sequencing studies indicate that C03F11.4 is regulated by sma-2, bar-1, hlh-30, glp-1, jmjd-3.1, jmjd-1.2, hsf-1, and tdp-1; RNA sequencing and microarray studies indicate that C03F11.4 is regulated by D-glucose and Dafa#1; tiling array, RNA sequencing, and microarray studies indicate that C03F11.4 is enriched in the coelomocytes, germ line, and muscle cell and in the I5, DA, SAB, and retrovesicular ganglion.
C32H11.3	WBGene00007866	C32H11.3	Live	C32H11.3	CELE_C32H11.3	C32H11.3,C32H11.3	CE19710	Q9XUH8	TF316078	NM_070064.1	NP_502465.1	locomotion variant	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	N.A.	N.A.	N.A.	C32H11.3	N.A.	ENSG00000143819|Panther	Automated_description	C32H11.3 is an ortholog of human EPHX1 (epoxide hydrolase 1); C32H11.3 is involved in locomotion.
pgp-5	WBGene00003999	pgp-5	Live	C05A9.1	CELE_C05A9.1	C05A9.1a,C05A9.1b,C05A9.1:wp194,C05A9.1b,C05A9.1a	CE43003,CE43182	B6VQ78,Q17645	N.A.	NM_001270187.1,NM_001270188.1	NP_001257116.1,NP_001257117.1	pathogen susceptibility increased	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	cadmium hypersensitive,copper hypersensitive,pathogen induced death increased	arsenite hypersensitive,colchicine hypersensitive,lethal,life span variant,slow growth	intestine	germ line,male-specific,Z4.aapppap (5L) nucleus	adult Ce	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,5-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,10-days post-L4 adult hermaphrodite Ce,20-days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,L4-adult lethargus Ce	pgp-5	N.A.	ENSG00000197150|Panther,ENSG00000073734|Panther,ENSG00000085563|Panther,ENSG00000004846|Panther,ENSG00000005471|Panther	Concise_description	pgp-5 encodes a transmembrane protein that is a member of the P-glycoprotein subclass of the ATP-binding cassette (ABC) transporter superfamily; by homology, PGP-5 is predicted to function as an ATP-dependent efflux pump that protects C. elegans by exporting exogenous toxins; pgp-5 activity is required for defense response to both Gram-negative and Gram-positive bacteria as well as for the response to heavy metal ions, including cadmium, copper, and zinc; pgp-5 is expressed in the intestine as well as in the terminal bulb of the pharynx; basal pgp-5 intestinal expression is regulated by TIR-1, while increased expression in response to stressors is under the contol of the p38 MAPK pathway.
acp-6	WBGene00022245	acp-6	Live	Y73B6BL.24	CELE_Y73B6BL.24	Y73B6BL.24,Y73B6BL.24	CE29924	Q9GUF2	TF315912	NM_068581.4	NP_500982.2	N.A.	embryonic lethal,maternal sterile,organism morphology variant,Variant	N.A.	N.A.	N.A.	cephalic sheath cell,germ line,hypodermis,OLL,PVD	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,4-cell embryo Ce,5-days post-L4 adult hermaphrodite Ce,6-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,11-15 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,L4-adult lethargus Ce,larva Ce	acp-6	N.A.	ENSG00000162836|Panther,ENSG00000155893|Panther,ENSG00000014257|Panther,ENSG00000134575|Panther,ENSG00000142513|Panther	Automated_description	acp-6 is an ortholog of members of the human ACP (Acid phosphatases) family including ACP6; acp-6 is predicted to have acid phosphatase activity, based on protein domain information.
F43C11.14	WBGene00197659	F43C11.14	Live	F43C11.14	CELE_F43C11.14	F43C11.14	N.A.	N.A.	N.A.	NR_050896.1	N.A.	N.A.	N.A.	N.A.	N.A.	N.A.	N.A.	N.A.	N.A.	F43C11.14	N.A.	N.A.	N.A.	N.A.
